100; 0.108014; 0.303205

111; 0.120981; 0.324624

122; 0.092792; 0.293596

133; 0.104900; 0.303975

144; 0.070386; 0.268704

155; 0.060703; 0.246188

166; 0.109682; 0.308950

177; 0.111965; 0.306033

188; 0.151124; 0.355424

199; 0.119387; 0.318396

210; 0.040428; 0.238171

221; 0.190674; 0.386803

232; 0.054398; 0.243220

243; 0.060793; 0.261412

254; 0.176518; 0.380117

265; 0.171192; 0.374329

276; 0.060003; 0.260620

287; 0.153000; 0.360212

298; 0.095478; 0.296220

309; 0.065919; 0.263087

320; 0.087042; 0.288464

331; 0.130388; 0.322738

342; 0.058304; 0.257302

353; 0.269813; 0.476387

364; 0.142470; 0.346304

375; 0.066623; 0.263570

386; 0.153891; 0.357344

397; 0.066884; 0.256785

408; 0.050454; 0.254923

419; 0.093834; 0.292064

430; 0.152038; 0.362947

441; 0.034237; 0.228263

452; 0.070437; 0.266888

463; 0.209573; 0.414128

474; 0.079699; 0.284321

485; 0.075029; 0.269450

496; 0.696435; 0.910456

507; 0.108157; 0.312087

518; 0.100548; 0.300642

529; 0.093625; 0.285686

540; 0.151762; 0.355834

551; 0.061823; 0.260157

562; 0.071243; 0.262130

573; 0.075500; 0.272958

584; 0.097497; 0.294116

595; 0.139843; 0.342819

606; 0.091455; 0.289106

617; 0.075628; 0.279711

628; 0.088373; 0.292888

639; 0.115016; 0.308065

650; 0.054186; 0.252063

661; 0.101447; 0.305688

672; 0.122659; 0.322032

683; 0.095043; 0.294237

694; 0.268490; 0.467098

705; 0.129963; 0.332133

716; 0.047064; 0.241887

727; 0.129999; 0.335524

738; 0.104266; 0.302794

749; 0.053863; 0.247902

760; 0.064915; 0.252069

771; 0.179839; 0.385559

782; 0.125304; 0.332243

793; 0.100379; 0.298391

804; 0.210941; 0.417426

815; 0.082537; 0.282532

826; 0.130060; 0.332586

837; 0.073340; 0.272109

848; 0.096244; 0.289119

859; 0.108542; 0.304605

870; 0.053916; 0.249169

881; 0.053250; 0.243262

892; 0.095447; 0.297468

903; 0.084778; 0.281516

914; 0.149806; 0.348523

925; 0.048191; 0.245706

936; 0.056841; 0.255485

947; 0.094610; 0.298561

958; 0.164552; 0.365054

969; 0.086204; 0.284012

980; 0.035330; 0.222258

991; 0.064187; 0.268476

1002; 0.188800; 0.396862

1013; 0.082669; 0.282030

1024; 0.057162; 0.251334

1035; 0.081609; 0.278021

1046; 0.118372; 0.323072

1057; 0.035036; 0.227713

1068; 0.691375; 0.902505

1079; 0.028173; 0.215307

1090; 0.114015; 0.310035

1101; 0.084484; 0.283325

1112; 0.062688; 0.254474

1123; 0.084255; 0.282732

1134; 0.112314; 0.310438

1145; 0.070664; 0.267121

1156; 0.077244; 0.279890

1167; 0.114885; 0.314538

1178; 0.112228; 0.311207

1189; 0.045580; 0.233910

1.984217 t 0.095715 deviazione 9.949874 radice
0.112537 -/+ 0.019088 ---> Intervallo di Confidenza ( 0.131625 , 0.093449 )
1.984217 t 0.098926 deviazione 9.949874 radice
0.311538 -/+ 0.019728 ---> Intervallo di Confidenza ( 0.331266 , 0.291810 )
